Sl. No.,State/UT,% Aadhaar based PDS transactions in June 2021
1,Andaman & Nicobar Islands,82
2,Andhra Pradesh,100
3,Arunachal Pradesh,7
4,Assam,0
5,Bihar,99
6,Chandigarh,NA
7,Chhattisgarh,4
8,Dadra & Nagar Haveli and Daman & Diu,100
9,Delhi,0
10,Goa,96
11,Gujarat,92
12,Haryana,100
13,Himachal Pradesh,86
14,Jammu and Kashmir,76
15,Jharkhand,94
16,Karnataka,99
17,Kerala,94
18,Ladakh,19
19,Lakshadweep,0
20,Madhya Pradesh,96
21,Maharashtra,100
22,Manipur,0
23,Meghalaya,0
24,Mizoram,75
25,Nagaland,29
26,Odisha,77
27,Puducherry,NA
28,Punjab,0
29,Rajasthan,99
30,Sikkim,0
31,Tamil Nadu,0
32,Telangana,100
33,Tripura,99
34,Uttarakhand,8
35,Uttar Pradesh,98
36,West Bengal,5
