date,state,district,pincode,demo_age_5_17,demo_age_17_
01-03-2025,Tamil Nadu,Chennai,600040,41,592
01-03-2025,Tamil Nadu,Chennai,600097,37,390
01-03-2025,Tamil Nadu,Chennai,600007,20,289
01-03-2025,Tamil Nadu,Chennai,600026,16,324
01-03-2025,Tamil Nadu,Chennai,600119,46,393
01-06-2025,Tamil Nadu,Chennai,600015,75,575
01-06-2025,Tamil Nadu,Chennai,600042,101,815
01-03-2025,Tamil Nadu,Chennai,600019,29,308
01-03-2025,Tamil Nadu,Chennai,600020,25,309
01-03-2025,Tamil Nadu,Chennai,600091,46,447
01-09-2025,Tamil Nadu,Chennai,600018,0,13
01-09-2025,Tamil Nadu,Chennai,600023,4,23
01-09-2025,Tamil Nadu,Chennai,600029,0,10
01-09-2025,Tamil Nadu,Chennai,600035,0,5
01-09-2025,Tamil Nadu,Chennai,600037,0,3
01-09-2025,Tamil Nadu,Chennai,600049,0,20
01-09-2025,Tamil Nadu,Chennai,600060,0,5
01-09-2025,Tamil Nadu,Chennai,600061,1,6
01-09-2025,Tamil Nadu,Chennai,600078,5,30
01-09-2025,Tamil Nadu,Chennai,600083,0,15
01-09-2025,Tamil Nadu,Chennai,600092,1,25
01-09-2025,Tamil Nadu,Chennai,600101,0,2
01-09-2025,Tamil Nadu,Chennai,600115,0,12
01-09-2025,Tamil Nadu,Chennai,600116,0,8
02-09-2025,Tamil Nadu,Chennai,600002,0,25
02-09-2025,Tamil Nadu,Chennai,600005,6,30
02-09-2025,Tamil Nadu,Chennai,600010,1,17
02-09-2025,Tamil Nadu,Chennai,600022,0,1
02-09-2025,Tamil Nadu,Chennai,600023,1,15
02-09-2025,Tamil Nadu,Chennai,600025,0,1
02-09-2025,Tamil Nadu,Chennai,600038,0,2
02-09-2025,Tamil Nadu,Chennai,600049,1,19
02-09-2025,Tamil Nadu,Chennai,600061,2,13
02-09-2025,Tamil Nadu,Chennai,600066,0,5
02-09-2025,Tamil Nadu,Chennai,600068,0,2
02-09-2025,Tamil Nadu,Chennai,600088,0,4
02-09-2025,Tamil Nadu,Chennai,600097,0,11
02-09-2025,Tamil Nadu,Chennai,600102,2,17
02-09-2025,Tamil Nadu,Chennai,600113,1,6
02-09-2025,Tamil Nadu,Chennai,600115,1,18
02-09-2025,Tamil Nadu,Chennai,600118,8,41
02-09-2025,Tamil Nadu,Chennai,600126,0,1
03-09-2025,Tamil Nadu,Chennai,600001,9,52
03-09-2025,Tamil Nadu,Chennai,600007,2,11
03-09-2025,Tamil Nadu,Chennai,600013,2,21
03-09-2025,Tamil Nadu,Chennai,600015,5,25
03-09-2025,Tamil Nadu,Chennai,600020,1,10
03-09-2025,Tamil Nadu,Chennai,600028,1,12
03-09-2025,Tamil Nadu,Chennai,600038,1,3
03-09-2025,Tamil Nadu,Chennai,600041,2,15
03-09-2025,Tamil Nadu,Chennai,600058,1,1
03-09-2025,Tamil Nadu,Chennai,600061,1,8
03-09-2025,Tamil Nadu,Chennai,600078,3,18
03-09-2025,Tamil Nadu,Chennai,600080,0,1
03-09-2025,Tamil Nadu,Chennai,600082,2,26
03-09-2025,Tamil Nadu,Chennai,600083,0,15
03-09-2025,Tamil Nadu,Chennai,600084,1,5
03-09-2025,Tamil Nadu,Chennai,600085,0,9
03-09-2025,Tamil Nadu,Chennai,600090,1,3
03-09-2025,Tamil Nadu,Chennai,600102,1,12
03-09-2025,Tamil Nadu,Chennai,600103,0,3
03-09-2025,Tamil Nadu,Chennai,600114,0,2
03-09-2025,Tamil Nadu,Chennai,600118,2,28
04-09-2025,Tamil Nadu,Chennai,600005,6,18
04-09-2025,Tamil Nadu,Chennai,600024,0,11
04-09-2025,Tamil Nadu,Chennai,600033,0,13
04-09-2025,Tamil Nadu,Chennai,600035,1,3
04-09-2025,Tamil Nadu,Chennai,600038,0,7
