Sl. No.,Residential Address State,Pan Count
1,Andaman and Nicobar Islands,235107
2,Andhra Pradesh,24726158
3,Arunachal Pradesh,715204
4,Assam,12813323
5,Bihar,42323312
6,Chandigarh,745605
7,Dadra and Nagar Haveli,210977
8,Daman and Diu,162353
9,Delhi,13837680
10,Goa,1003876
11,Gujarat,27452095
12,Haryana,17487275
13,Himachal Pradesh,4015286
14,Jammu and Kashmir,4669709
15,Karnataka,37258217
16,Kerala,17831049
17,Lakhswadeep,22300
18,Madhya Pradesh,28599138
19,Maharashtra,61942591
20,Manipur,1209847
21,Meghalaya,463788
22,Mizoram,305405
23,Nagaland,605556
24,Odisha,14440675
25,Pondicherry,568358
26,Punjab,18172272
27,Rajasthan,30803683
28,Sikkim,303020
29,Tamilnadu,36263939
30,Tripura,1565478
31,Uttar Pradesh,87102419
32,West Bengal,48957647
33,Chhatishgarh,10151087
34,Uttarakhand,6017054
35,Jharkhand,12835481
36,Telangana,15635137
37,Foreign,153328
