month,state,district,pincode,total_enrolments,enrolments_mom_growth,rolling_3m_avg,enrolment_share_district,enrolment_share_state
2025-06-01,Tamil Nadu,Chennai,600001,62,0.0,62.0,3.984575835475578,3.984575835475578
2025-09-01,Tamil Nadu,Chennai,600001,142,129.03225806451616,102.0,4.49936628643853,4.49936628643853
2025-10-01,Tamil Nadu,Chennai,600001,73,-48.59154929577465,92.33333333333333,3.757076685537828,3.757076685537828
2025-11-01,Tamil Nadu,Chennai,600001,134,83.56164383561644,116.33333333333333,4.539295392953929,4.539295392953929
2025-12-01,Tamil Nadu,Chennai,600001,86,-35.820895522388064,97.66666666666667,4.911479154768704,4.911479154768704
2026-01-01,Tamil Nadu,Chennai,600001,29,-66.27906976744187,83.0,4.400606980273141,4.400606980273141
2025-06-01,Tamil Nadu,Chennai,600002,47,0.0,47.0,3.020565552699229,3.020565552699229
2025-09-01,Tamil Nadu,Chennai,600002,69,46.808510638297875,58.0,2.1863117870722433,2.1863117870722433
2025-10-01,Tamil Nadu,Chennai,600002,49,-28.985507246376805,55.0,2.521873391662378,2.521873391662378
2025-11-01,Tamil Nadu,Chennai,600002,69,40.816326530612244,62.333333333333336,2.33739837398374,2.33739837398374
2025-12-01,Tamil Nadu,Chennai,600002,41,-40.57971014492754,53.0,2.3415191319246147,2.3415191319246147
2026-01-01,Tamil Nadu,Chennai,600002,11,-73.17073170731707,40.333333333333336,1.669195751138088,1.669195751138088
2025-06-01,Tamil Nadu,Chennai,600003,18,0.0,18.0,1.1568123393316194,1.1568123393316194
2025-09-01,Tamil Nadu,Chennai,600003,42,133.33333333333334,30.0,1.3307984790874523,1.3307984790874523
2025-10-01,Tamil Nadu,Chennai,600003,7,-83.33333333333334,22.333333333333332,0.3602676273803397,0.3602676273803397
2025-11-01,Tamil Nadu,Chennai,600003,12,71.42857142857142,20.333333333333332,0.40650406504065045,0.40650406504065045
2025-12-01,Tamil Nadu,Chennai,600003,7,-41.666666666666664,8.666666666666666,0.3997715591090805,0.3997715591090805
2026-01-01,Tamil Nadu,Chennai,600003,2,-71.42857142857143,7.0,0.30349013657056145,0.30349013657056145
2025-06-01,Tamil Nadu,Chennai,600004,40,0.0,40.0,2.570694087403599,2.570694087403599
2025-09-01,Tamil Nadu,Chennai,600004,75,87.5,57.5,2.376425855513308,2.376425855513308
2025-10-01,Tamil Nadu,Chennai,600004,44,-41.333333333333336,53.0,2.2645393721049922,2.2645393721049922
2025-11-01,Tamil Nadu,Chennai,600004,100,127.2727272727273,73.0,3.387533875338753,3.387533875338753
2025-12-01,Tamil Nadu,Chennai,600004,47,-53.0,63.666666666666664,2.6841804683038264,2.6841804683038264
2026-01-01,Tamil Nadu,Chennai,600004,13,-72.34042553191489,53.333333333333336,1.9726858877086493,1.9726858877086493
2025-06-01,Tamil Nadu,Chennai,600005,36,0.0,36.0,2.313624678663239,2.313624678663239
2025-09-01,Tamil Nadu,Chennai,600005,85,136.11111111111111,60.5,2.6932826362484157,2.6932826362484157
2025-10-01,Tamil Nadu,Chennai,600005,52,-38.8235294117647,57.666666666666664,2.676273803396809,2.676273803396809
2025-11-01,Tamil Nadu,Chennai,600005,87,67.3076923076923,74.66666666666667,2.9471544715447155,2.9471544715447155
2025-12-01,Tamil Nadu,Chennai,600005,38,-56.32183908045977,59.0,2.1701884637350086,2.1701884637350086
2026-01-01,Tamil Nadu,Chennai,600005,18,-52.63157894736843,47.666666666666664,2.731411229135053,2.731411229135053
2025-06-01,Tamil Nadu,Chennai,600006,7,0.0,7.0,0.4498714652956298,0.4498714652956298
2025-09-01,Tamil Nadu,Chennai,600006,36,414.28571428571433,21.5,1.1406844106463878,1.1406844106463878
2025-10-01,Tamil Nadu,Chennai,600006,10,-72.22222222222221,17.666666666666668,0.514668039114771,0.514668039114771
2025-11-01,Tamil Nadu,Chennai,600006,10,0.0,18.666666666666668,0.33875338753387535,0.33875338753387535
2025-12-01,Tamil Nadu,Chennai,600006,12,19.999999999999996,10.666666666666666,0.6853226727584237,0.6853226727584237
2026-01-01,Tamil Nadu,Chennai,600006,3,-75.0,8.333333333333334,0.4552352048558422,0.4552352048558422
2025-06-01,Tamil Nadu,Chennai,600007,20,0.0,20.0,1.2853470437017995,1.2853470437017995
2025-09-01,Tamil Nadu,Chennai,600007,32,60.00000000000001,26.0,1.0139416983523446,1.0139416983523446
2025-10-01,Tamil Nadu,Chennai,600007,20,-37.5,24.0,1.029336078229542,1.029336078229542
2025-11-01,Tamil Nadu,Chennai,600007,44,120.00000000000001,32.0,1.4905149051490514,1.4905149051490514
2025-12-01,Tamil Nadu,Chennai,600007,22,-50.0,28.666666666666668,1.2564249000571102,1.2564249000571102
2026-01-01,Tamil Nadu,Chennai,600007,12,-45.45454545454546,26.0,1.8209408194233687,1.8209408194233687
2025-06-01,Tamil Nadu,Chennai,600008,6,0.0,6.0,0.3856041131105398,0.3856041131105398
2025-09-01,Tamil Nadu,Chennai,600008,7,16.666666666666675,6.5,0.2217997465145754,0.2217997465145754
