Sl.No,State/UTs,Total Ration Cards,No. of Ration Cards Seeded,Seeding@ (%)
1,Andhra Pradesh,9427381,9427381,100
2,Chandigarh,63920,63920,100
3,Chhattisgarh,5315000,5200000,98
4,Dadra & Nagar Haveli,42824,41356,97
5,Daman & Diu,24157,24221,100
6,Gujarat,7202425,6956986,97
7,Jharkhand,5725982,5558234,97
8,Puducherry,168781,168781,100
9,Tamil Nadu,9949700,9941077,100
10,Haryana,2964309,2623809,89
11,Karnataka,10962061,10949925,100
12,Madhya Pradesh,11509814,10509015,91
13,Maharashtra,14828050,12911973,87
14,Odisha,8639233,7815571,90
15,Rajasthan,9950016,9556381,96
16,Telangana,4927847,4927847,100
17,Andaman & Nicobar Island,12922,12922,100
18,Delhi,1944883,1944883,100
19,Goa,139158,138916,100
20,Himachal Pradesh,714390,663049,93
21,Punjab,3632158,3628833,100
22,Sikkim,96692,82170,85
23,Tripura,588820,574734,98
24,Uttar Pradesh,33327168,28529615,86
25,Arunachal Pradesh,176342,78473,45
26,Assam,5736271,0,0
27,Bihar,15401000,12429491,81
28,Jammu and Kashmir,1658691,922509,56
29,Kerala,3502509,3450721,99
30,Lakshadweep,5110,5005,98
31,Manipur,555528,169829,31
32,Meghalaya,421548,0,0
33,Mizoram,143623,103891,72
34,Nagaland,284934,92997,33
35,Uttarakhand,1330404,1197364,90
36,West Bengal,60185420,37930606,63
Total,Total,231559071,188632485,81
