date,state,district,pincode,bio_age_5_17,bio_age_17_
01-04-2025,Tamil Nadu,Chennai,600011,204,551
01-03-2025,Tamil Nadu,Chennai,600007,114,152
01-03-2025,Tamil Nadu,Chennai,600020,178,198
01-03-2025,Tamil Nadu,Chennai,600119,79,60
01-03-2025,Tamil Nadu,Chennai,600040,155,318
01-03-2025,Tamil Nadu,Chennai,600030,115,205
01-03-2025,Tamil Nadu,Chennai,600031,58,99
01-03-2025,Tamil Nadu,Chennai,600097,98,67
01-03-2025,Tamil Nadu,Chennai,600091,78,65
01-03-2025,Tamil Nadu,Chennai,600026,87,217
01-04-2025,Tamil Nadu,Chennai,600100,52,59
01-04-2025,Tamil Nadu,Chennai,600094,152,373
01-04-2025,Tamil Nadu,Chennai,600034,76,102
01-04-2025,Tamil Nadu,Chennai,600009,16,16
01-04-2025,Tamil Nadu,Chennai,600085,67,102
01-04-2025,Tamil Nadu,Chennai,600013,258,305
01-04-2025,Tamil Nadu,Chennai,600108,15,24
01-05-2025,Tamil Nadu,Chennai,600034,91,117
01-05-2025,Tamil Nadu,Chennai,600015,238,330
01-05-2025,Tamil Nadu,Chennai,600118,473,563
01-05-2025,Tamil Nadu,Chennai,600084,31,39
01-05-2025,Tamil Nadu,Chennai,600096,34,34
01-05-2025,Tamil Nadu,Chennai,600030,131,154
01-05-2025,Tamil Nadu,Chennai,600011,272,448
01-05-2025,Tamil Nadu,Chennai,600082,194,352
01-05-2025,Tamil Nadu,Chennai,600106,206,311
01-05-2025,Tamil Nadu,Chennai,600013,252,311
01-04-2025,Tamil Nadu,Chennai,600018,74,139
01-04-2025,Tamil Nadu,Chennai,600002,268,250
01-04-2025,Tamil Nadu,Chennai,600014,264,219
01-05-2025,Tamil Nadu,Chennai,600093,73,152
01-05-2025,Tamil Nadu,Chennai,600021,668,732
01-05-2025,Tamil Nadu,Chennai,600023,298,600
01-05-2025,Tamil Nadu,Chennai,600041,250,276
01-06-2025,Tamil Nadu,Chennai,600009,26,16
08-09-2025,Tamil Nadu,Chennai,600079,0,1
19-10-2025,Tamil Nadu,Chennai,600086,5,2
19-10-2025,Tamil Nadu,Chennai,600104,0,1
20-10-2025,Tamil Nadu,Chennai,600039,2,1
20-10-2025,Tamil Nadu,Chennai,600068,0,1
20-10-2025,Tamil Nadu,Chennai,600078,1,2
21-10-2025,Tamil Nadu,Chennai,600006,1,0
27-10-2025,Tamil Nadu,Chennai,600022,0,1
02-11-2025,Tamil Nadu,Chennai,600034,16,7
02-11-2025,Tamil Nadu,Chennai,600035,11,5
26-10-2025,Tamil Nadu,Chennai,600036,3,0
24-10-2025,Tamil Nadu,Chennai,600101,0,1
04-11-2025,Tamil Nadu,Chennai,600022,1,0
05-11-2025,Tamil Nadu,Chennai,600112,3,1
08-11-2025,Tamil Nadu,Chennai,600104,1,0
09-11-2025,Tamil Nadu,Chennai,600030,0,1
09-11-2025,Tamil Nadu,Chennai,600102,3,1
16-11-2025,Tamil Nadu,Chennai,600086,1,1
15-11-2025,Tamil Nadu,Chennai,600077,0,1
15-11-2025,Tamil Nadu,Chennai,600101,0,1
15-11-2025,Tamil Nadu,Chennai,600125,2,18
08-11-2025,Tamil Nadu,Chennai,600117,0,1
07-11-2025,Tamil Nadu,Chennai,600061,4,12
07-11-2025,Tamil Nadu,Chennai,600068,0,3
07-11-2025,Tamil Nadu,Chennai,600095,2,14
07-11-2025,Tamil Nadu,Chennai,600103,0,1
03-11-2025,Tamil Nadu,Chennai,600016,1,3
03-11-2025,Tamil Nadu,Chennai,600037,0,4
03-11-2025,Tamil Nadu,Chennai,600057,0,10
03-11-2025,Tamil Nadu,Chennai,600058,0,3
20-10-2025,Tamil Nadu,Chennai,600008,0,1
20-10-2025,Tamil Nadu,Chennai,600012,1,3
20-10-2025,Tamil Nadu,Chennai,600021,0,1
