date,state,district,pincode,update_name,update_address,update_dob,update_gender,update_mobile,total_updates
2025-01-01,Tamil Nadu,Chennai,600001,45,120,12,5,80,262
2025-01-01,Tamil Nadu,Chennai,600012,30,95,8,3,60,196
2025-01-01,Tamil Nadu,Chennai,600042,25,40,5,2,30,102
2025-01-01,Tamil Nadu,Chennai,600096,5,10,1,0,8,24
2025-01-01,Tamil Nadu,Chennai,600028,12,35,4,2,25,78
2025-02-01,Tamil Nadu,Chennai,600001,48,110,14,6,85,263
2025-02-01,Tamil Nadu,Chennai,600012,32,80,9,4,62,187
2025-02-01,Tamil Nadu,Chennai,600042,28,45,6,3,35,117
2025-02-01,Tamil Nadu,Chennai,600096,4,12,2,0,7,25
2025-02-01,Tamil Nadu,Chennai,600028,15,38,5,2,28,88
2025-03-01,Tamil Nadu,Chennai,600001,50,115,15,7,90,277
2025-03-01,Tamil Nadu,Chennai,600012,35,85,10,5,65,200
2025-03-01,Tamil Nadu,Chennai,600042,30,50,8,4,38,130
2025-03-01,Tamil Nadu,Chennai,600096,6,15,1,1,9,32
2025-03-01,Tamil Nadu,Chennai,600028,18,40,6,3,30,97
2025-04-01,Tamil Nadu,Chennai,600001,55,125,18,8,95,301
2025-04-01,Tamil Nadu,Chennai,600012,38,90,12,6,68,214
2025-04-01,Tamil Nadu,Chennai,600042,32,55,10,5,40,142
2025-04-01,Tamil Nadu,Chennai,600096,5,11,1,0,8,25
2025-04-01,Tamil Nadu,Chennai,600028,20,45,8,4,35,112
2025-05-01,Tamil Nadu,Chennai,600001,60,130,20,10,100,320
2025-05-01,Tamil Nadu,Chennai,600012,40,95,14,7,70,226
2025-05-01,Tamil Nadu,Chennai,600042,35,60,12,6,45,158
2025-05-01,Tamil Nadu,Chennai,600096,6,14,2,1,10,33
2025-05-01,Tamil Nadu,Chennai,600028,22,50,10,5,38,125
2025-06-01,Tamil Nadu,Chennai,600001,65,180,22,12,110,389
2025-06-01,Tamil Nadu,Chennai,600012,45,140,16,8,75,284
2025-06-01,Tamil Nadu,Chennai,600042,38,65,14,7,48,172
2025-06-01,Tamil Nadu,Chennai,600096,4,12,1,0,9,26
2025-06-01,Tamil Nadu,Chennai,600028,25,55,12,6,40,138
2025-07-01,Tamil Nadu,Chennai,600001,70,160,25,14,115,384
2025-07-01,Tamil Nadu,Chennai,600012,48,130,18,9,78,283
2025-07-01,Tamil Nadu,Chennai,600042,40,70,16,8,50,184
2025-07-01,Tamil Nadu,Chennai,600096,5,10,2,1,8,26
2025-07-01,Tamil Nadu,Chennai,600028,28,60,14,7,42,151
2025-08-01,Tamil Nadu,Chennai,600001,68,140,24,13,112,357
2025-08-01,Tamil Nadu,Chennai,600012,46,120,17,8,76,267
2025-08-01,Tamil Nadu,Chennai,600042,42,75,18,9,52,196
2025-08-01,Tamil Nadu,Chennai,600096,6,15,1,0,10,32
2025-08-01,Tamil Nadu,Chennai,600028,26,58,13,6,41,144
2025-09-01,Tamil Nadu,Chennai,600001,65,130,22,12,110,339
2025-09-01,Tamil Nadu,Chennai,600012,45,115,16,8,75,259
2025-09-01,Tamil Nadu,Chennai,600042,45,80,20,10,55,210
2025-09-01,Tamil Nadu,Chennai,600096,5,12,2,1,9,29
2025-09-01,Tamil Nadu,Chennai,600028,25,55,12,6,40,138
2025-10-01,Tamil Nadu,Chennai,600001,72,135,26,14,118,365
2025-10-01,Tamil Nadu,Chennai,600012,50,120,20,10,80,280
2025-10-01,Tamil Nadu,Chennai,600042,50,90,25,12,60,237
2025-10-01,Tamil Nadu,Chennai,600096,7,18,3,1,12,41
2025-10-01,Tamil Nadu,Chennai,600028,30,65,15,8,45,163
2025-11-01,Tamil Nadu,Chennai,600001,75,140,28,15,120,378
2025-11-01,Tamil Nadu,Chennai,600012,52,125,22,11,82,292
2025-11-01,Tamil Nadu,Chennai,600042,55,100,50,15,65,285
2025-11-01,Tamil Nadu,Chennai,600096,6,14,2,0,10,32
2025-11-01,Tamil Nadu,Chennai,600028,32,70,16,9,48,175
2025-12-01,Tamil Nadu,Chennai,600001,80,150,30,16,125,401
2025-12-01,Tamil Nadu,Chennai,600012,55,130,24,12,85,306
2025-12-01,Tamil Nadu,Chennai,600042,60,110,250,20,70,510
2025-12-01,Tamil Nadu,Chennai,600096,5,10,1,0,8,24
2025-12-01,Tamil Nadu,Chennai,600028,35,75,18,10,50,188
2025-01-01,Tamil Nadu,Chennai,600030,20,50,10,5,30,115
2025-01-01,Tamil Nadu,Chennai,600031,22,55,11,6,32,126
2025-02-01,Tamil Nadu,Chennai,600030,21,52,10,5,31,119
2025-02-01,Tamil Nadu,Chennai,600031,23,57,12,6,34,132
2025-03-01,Tamil Nadu,Chennai,600030,22,54,11,5,32,124
2025-03-01,Tamil Nadu,Chennai,600031,25,60,13,7,36,141
2025-04-01,Tamil Nadu,Chennai,600030,25,60,12,6,35,138
2025-04-01,Tamil Nadu,Chennai,600031,28,65,14,7,40,154
2025-05-01,Tamil Nadu,Chennai,600030,28,65,14,7,38,152
2025-05-01,Tamil Nadu,Chennai,600031,30,70,16,8,42,166
2025-06-01,Tamil Nadu,Chennai,600030,35,80,18,9,45,187
2025-06-01,Tamil Nadu,Chennai,600031,38,85,20,10,50,203
2025-07-01,Tamil Nadu,Chennai,600030,32,75,16,8,42,173
2025-07-01,Tamil Nadu,Chennai,600031,35,80,18,9,48,190
2025-08-01,Tamil Nadu,Chennai,600030,30,70,15,7,40,162
2025-08-01,Tamil Nadu,Chennai,600031,32,75,16,8,45,176
2025-09-01,Tamil Nadu,Chennai,600030,28,65,14,7,38,152
2025-09-01,Tamil Nadu,Chennai,600031,30,70,15,7,42,164
2025-10-01,Tamil Nadu,Chennai,600030,35,80,18,9,45,187
2025-10-01,Tamil Nadu,Chennai,600031,38,85,20,10,50,203
2025-11-01,Tamil Nadu,Chennai,600030,40,90,20,10,50,210
2025-11-01,Tamil Nadu,Chennai,600031,45,100,25,12,55,237
2025-12-01,Tamil Nadu,Chennai,600030,45,100,25,12,55,237
2025-12-01,Tamil Nadu,Chennai,600031,50,110,28,14,60,262
