date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-07-2025,Tamil Nadu,Chennai,600119,87,63,12
03-09-2025,Tamil Nadu,Chennai,600001,8,1,0
03-09-2025,Tamil Nadu,Chennai,600007,4,0,0
03-09-2025,Tamil Nadu,Chennai,600013,6,0,0
03-09-2025,Tamil Nadu,Chennai,600015,2,2,0
03-09-2025,Tamil Nadu,Chennai,600038,0,1,0
03-09-2025,Tamil Nadu,Chennai,600041,3,0,0
03-09-2025,Tamil Nadu,Chennai,600078,7,1,0
03-09-2025,Tamil Nadu,Chennai,600082,3,0,0
03-09-2025,Tamil Nadu,Chennai,600083,0,2,0
03-09-2025,Tamil Nadu,Chennai,600085,2,1,0
03-09-2025,Tamil Nadu,Chennai,600118,2,2,0
02-09-2025,Tamil Nadu,Chennai,600002,1,0,0
02-09-2025,Tamil Nadu,Chennai,600005,4,0,0
02-09-2025,Tamil Nadu,Chennai,600010,5,2,0
02-09-2025,Tamil Nadu,Chennai,600023,4,0,0
02-09-2025,Tamil Nadu,Chennai,600061,0,1,0
02-09-2025,Tamil Nadu,Chennai,600066,1,0,0
02-09-2025,Tamil Nadu,Chennai,600097,2,0,0
02-09-2025,Tamil Nadu,Chennai,600115,1,0,0
02-09-2025,Tamil Nadu,Chennai,600118,1,0,0
02-09-2025,Tamil Nadu,Chennai,600126,1,0,0
01-09-2025,Tamil Nadu,Chennai,600023,5,0,0
01-09-2025,Tamil Nadu,Chennai,600029,1,0,0
01-09-2025,Tamil Nadu,Chennai,600035,1,2,0
01-09-2025,Tamil Nadu,Chennai,600078,1,0,0
01-09-2025,Tamil Nadu,Chennai,600083,5,0,0
01-09-2025,Tamil Nadu,Chennai,600092,4,0,0
01-09-2025,Tamil Nadu,Chennai,600101,1,0,0
01-09-2025,Tamil Nadu,Chennai,600115,1,0,0
05-09-2025,Tamil Nadu,Chennai,600002,1,0,0
05-09-2025,Tamil Nadu,Chennai,600021,0,1,0
05-09-2025,Tamil Nadu,Chennai,600026,1,0,0
05-09-2025,Tamil Nadu,Chennai,600092,1,0,0
04-09-2025,Tamil Nadu,Chennai,600005,0,1,0
04-09-2025,Tamil Nadu,Chennai,600024,3,0,0
04-09-2025,Tamil Nadu,Chennai,600033,3,2,0
04-09-2025,Tamil Nadu,Chennai,600035,2,1,0
04-09-2025,Tamil Nadu,Chennai,600068,1,0,0
04-09-2025,Tamil Nadu,Chennai,600082,3,4,0
06-09-2025,Tamil Nadu,Chennai,600001,4,5,0
06-09-2025,Tamil Nadu,Chennai,600010,1,1,0
06-09-2025,Tamil Nadu,Chennai,600015,0,1,0
06-09-2025,Tamil Nadu,Chennai,600106,4,0,0
06-09-2025,Tamil Nadu,Chennai,600107,0,1,0
06-09-2025,Tamil Nadu,Chennai,600113,2,0,0
06-09-2025,Tamil Nadu,Chennai,600118,7,2,0
06-09-2025,Tamil Nadu,Chennai,600129,0,1,0
07-09-2025,Tamil Nadu,Chennai,600003,1,0,0
07-09-2025,Tamil Nadu,Chennai,600004,1,0,0
07-09-2025,Tamil Nadu,Chennai,600014,2,0,0
07-09-2025,Tamil Nadu,Chennai,600042,0,1,0
07-09-2025,Tamil Nadu,Chennai,600119,0,1,0
08-09-2025,Tamil Nadu,Chennai,600005,1,1,0
08-09-2025,Tamil Nadu,Chennai,600011,2,0,0
08-09-2025,Tamil Nadu,Chennai,600012,5,1,0
08-09-2025,Tamil Nadu,Chennai,600015,3,0,0
08-09-2025,Tamil Nadu,Chennai,600017,2,0,0
08-09-2025,Tamil Nadu,Chennai,600018,2,1,0
08-09-2025,Tamil Nadu,Chennai,600021,3,3,0
08-09-2025,Tamil Nadu,Chennai,600082,0,1,0
08-09-2025,Tamil Nadu,Chennai,600092,2,1,0
08-09-2025,Tamil Nadu,Chennai,600115,1,0,0
08-09-2025,Tamil Nadu,Chennai,600119,4,0,0
08-09-2025,Tamil Nadu,Chennai,600125,1,0,0
09-09-2025,Tamil Nadu,Chennai,600001,6,3,0
09-09-2025,Tamil Nadu,Chennai,600002,1,1,0
09-09-2025,Tamil Nadu,Chennai,600004,3,0,0
09-09-2025,Tamil Nadu,Chennai,600007,1,0,0
09-09-2025,Tamil Nadu,Chennai,600010,1,1,0
09-09-2025,Tamil Nadu,Chennai,600030,2,0,0
09-09-2025,Tamil Nadu,Chennai,600034,2,1,0
09-09-2025,Tamil Nadu,Chennai,600037,0,1,0
09-09-2025,Tamil Nadu,Chennai,600039,2,1,0
09-09-2025,Tamil Nadu,Chennai,600049,0,1,0
09-09-2025,Tamil Nadu,Chennai,600085,1,1,0
09-09-2025,Tamil Nadu,Chennai,600090,1,0,0
09-09-2025,Tamil Nadu,Chennai,600112,2,0,0
09-09-2025,Tamil Nadu,Chennai,600125,0,0,1
10-09-2025,Tamil Nadu,Chennai,600012,5,3,0
10-09-2025,Tamil Nadu,Chennai,600021,2,4,0
10-09-2025,Tamil Nadu,Chennai,600028,4,0,0
10-09-2025,Tamil Nadu,Chennai,600042,0,3,0
10-09-2025,Tamil Nadu,Chennai,600094,8,0,0
10-09-2025,Tamil Nadu,Chennai,600097,6,1,0
11-09-2025,Tamil Nadu,Chennai,600010,0,1,0
11-09-2025,Tamil Nadu,Chennai,600020,1,0,0
11-09-2025,Tamil Nadu,Chennai,600026,0,1,0
11-09-2025,Tamil Nadu,Chennai,600031,1,0,0
11-09-2025,Tamil Nadu,Chennai,600078,1,0,0
11-09-2025,Tamil Nadu,Chennai,600081,3,0,0
11-09-2025,Tamil Nadu,Chennai,600094,1,0,0
11-09-2025,Tamil Nadu,Chennai,600097,2,0,0
11-09-2025,Tamil Nadu,Chennai,600100,2,1,0
11-09-2025,Tamil Nadu,Chennai,600102,1,0,0
11-09-2025,Tamil Nadu,Chennai,600129,4,0,0
14-09-2025,Tamil Nadu,Chennai,600002,1,0,0
14-09-2025,Tamil Nadu,Chennai,600012,0,1,0
14-09-2025,Tamil Nadu,Chennai,600049,1,2,0
14-09-2025,Tamil Nadu,Chennai,600106,2,0,0
14-09-2025,Tamil Nadu,Chennai,600126,1,0,0
12-09-2025,Tamil Nadu,Chennai,600002,5,1,0
12-09-2025,Tamil Nadu,Chennai,600003,4,0,0
12-09-2025,Tamil Nadu,Chennai,600006,1,0,0
12-09-2025,Tamil Nadu,Chennai,600008,1,2,0
12-09-2025,Tamil Nadu,Chennai,600015,3,1,0
12-09-2025,Tamil Nadu,Chennai,600016,1,0,0
12-09-2025,Tamil Nadu,Chennai,600030,0,1,0
12-09-2025,Tamil Nadu,Chennai,600033,5,0,0
12-09-2025,Tamil Nadu,Chennai,600049,4,0,0
12-09-2025,Tamil Nadu,Chennai,600090,1,0,0
12-09-2025,Tamil Nadu,Chennai,600096,0,1,0
12-09-2025,Tamil Nadu,Chennai,600115,1,0,0
12-09-2025,Tamil Nadu,Chennai,600129,1,1,0
13-09-2025,Tamil Nadu,Chennai,600003,1,0,0
13-09-2025,Tamil Nadu,Chennai,600005,5,1,0
13-09-2025,Tamil Nadu,Chennai,600013,2,1,0
13-09-2025,Tamil Nadu,Chennai,600035,0,1,0
13-09-2025,Tamil Nadu,Chennai,600037,1,0,0
13-09-2025,Tamil Nadu,Chennai,600082,3,1,0
13-09-2025,Tamil Nadu,Chennai,600094,2,0,0
13-09-2025,Tamil Nadu,Chennai,600102,1,0,0
13-09-2025,Tamil Nadu,Chennai,600113,3,0,0
13-09-2025,Tamil Nadu,Chennai,600115,0,1,2
16-09-2025,Tamil Nadu,Chennai,600002,0,1,0
16-09-2025,Tamil Nadu,Chennai,600011,5,0,0
16-09-2025,Tamil Nadu,Chennai,600013,1,0,0
16-09-2025,Tamil Nadu,Chennai,600038,0,1,0
16-09-2025,Tamil Nadu,Chennai,600094,4,1,0
16-09-2025,Tamil Nadu,Chennai,600112,2,0,0
15-09-2025,Tamil Nadu,Chennai,600013,1,0,0
15-09-2025,Tamil Nadu,Chennai,600017,1,0,0
15-09-2025,Tamil Nadu,Chennai,600018,1,1,0
15-09-2025,Tamil Nadu,Chennai,600023,2,0,0
15-09-2025,Tamil Nadu,Chennai,600031,1,0,0
17-09-2025,Tamil Nadu,Chennai,600019,1,0,0
17-09-2025,Tamil Nadu,Chennai,600082,3,1,0
17-09-2025,Tamil Nadu,Chennai,600083,3,1,0
17-09-2025,Tamil Nadu,Chennai,600087,0,0,1
17-09-2025,Tamil Nadu,Chennai,600091,4,0,0
17-09-2025,Tamil Nadu,Chennai,600100,3,0,0
18-09-2025,Tamil Nadu,Chennai,600001,1,1,0
18-09-2025,Tamil Nadu,Chennai,600003,3,0,0
18-09-2025,Tamil Nadu,Chennai,600013,2,0,0
18-09-2025,Tamil Nadu,Chennai,600015,2,0,0
18-09-2025,Tamil Nadu,Chennai,600017,1,1,0
18-09-2025,Tamil Nadu,Chennai,600019,1,0,0
18-09-2025,Tamil Nadu,Chennai,600023,3,2,0
18-09-2025,Tamil Nadu,Chennai,600032,2,1,0
18-09-2025,Tamil Nadu,Chennai,600035,3,0,0
18-09-2025,Tamil Nadu,Chennai,600082,3,0,0
18-09-2025,Tamil Nadu,Chennai,600118,6,1,0
19-09-2025,Tamil Nadu,Chennai,600005,2,0,0
19-09-2025,Tamil Nadu,Chennai,600007,1,0,0
19-09-2025,Tamil Nadu,Chennai,600023,1,0,0
19-09-2025,Tamil Nadu,Chennai,600032,1,0,0
19-09-2025,Tamil Nadu,Chennai,600083,4,1,0
19-09-2025,Tamil Nadu,Chennai,600091,1,0,0
19-09-2025,Tamil Nadu,Chennai,600094,2,1,0
19-09-2025,Tamil Nadu,Chennai,600100,2,0,0
19-09-2025,Tamil Nadu,Chennai,600113,1,1,0
19-09-2025,Tamil Nadu,Chennai,600116,0,2,0
20-09-2025,Tamil Nadu,Chennai,600013,1,0,0
20-09-2025,Tamil Nadu,Chennai,600018,2,0,0
20-09-2025,Tamil Nadu,Chennai,600030,1,1,0
20-09-2025,Tamil Nadu,Chennai,600036,1,0,0
20-09-2025,Tamil Nadu,Chennai,600061,1,0,0
20-09-2025,Tamil Nadu,Chennai,600100,4,0,0
20-09-2025,Tamil Nadu,Chennai,600106,4,0,0
20-09-2025,Tamil Nadu,Chennai,600108,1,0,0
22-09-2025,Tamil Nadu,Chennai,600012,4,2,0
22-09-2025,Tamil Nadu,Chennai,600013,1,0,0
22-09-2025,Tamil Nadu,Chennai,600014,0,1,0
22-09-2025,Tamil Nadu,Chennai,600018,1,1,0
22-09-2025,Tamil Nadu,Chennai,600020,1,0,0
22-09-2025,Tamil Nadu,Chennai,600034,1,0,0
22-09-2025,Tamil Nadu,Chennai,600035,0,1,0
22-09-2025,Tamil Nadu,Chennai,600092,1,0,0
22-09-2025,Tamil Nadu,Chennai,600097,6,5,0
22-09-2025,Tamil Nadu,Chennai,600118,4,1,0
21-09-2025,Tamil Nadu,Chennai,600015,1,0,0
21-09-2025,Tamil Nadu,Chennai,600021,0,1,0
25-09-2025,Tamil Nadu,Chennai,600003,2,0,0
25-09-2025,Tamil Nadu,Chennai,600005,2,0,0
25-09-2025,Tamil Nadu,Chennai,600010,2,0,0
25-09-2025,Tamil Nadu,Chennai,600029,2,0,0
25-09-2025,Tamil Nadu,Chennai,600042,5,1,0
25-09-2025,Tamil Nadu,Chennai,600094,4,0,0
25-09-2025,Tamil Nadu,Chennai,600097,1,0,0
25-09-2025,Tamil Nadu,Chennai,600100,1,0,0
23-09-2025,Tamil Nadu,Chennai,600011,5,1,0
23-09-2025,Tamil Nadu,Chennai,600014,4,0,0
23-09-2025,Tamil Nadu,Chennai,600028,4,0,0
23-09-2025,Tamil Nadu,Chennai,600093,2,0,0
23-09-2025,Tamil Nadu,Chennai,600118,2,2,0
24-09-2025,Tamil Nadu,Chennai,600012,5,1,0
24-09-2025,Tamil Nadu,Chennai,600013,2,0,0
24-09-2025,Tamil Nadu,Chennai,600014,1,2,0
24-09-2025,Tamil Nadu,Chennai,600017,3,0,0
24-09-2025,Tamil Nadu,Chennai,600042,8,1,0
24-09-2025,Tamil Nadu,Chennai,600049,0,1,0
24-09-2025,Tamil Nadu,Chennai,600068,1,0,0
24-09-2025,Tamil Nadu,Chennai,600083,1,0,0
24-09-2025,Tamil Nadu,Chennai,600084,2,0,0
24-09-2025,Tamil Nadu,Chennai,600106,1,1,0
27-09-2025,Tamil Nadu,Chennai,600001,3,0,0
27-09-2025,Tamil Nadu,Chennai,600002,2,0,0
27-09-2025,Tamil Nadu,Chennai,600015,3,1,0
27-09-2025,Tamil Nadu,Chennai,600028,1,0,0
27-09-2025,Tamil Nadu,Chennai,600042,1,0,0
27-09-2025,Tamil Nadu,Chennai,600081,1,1,0
27-09-2025,Tamil Nadu,Chennai,600112,1,0,0
26-09-2025,Tamil Nadu,Chennai,600013,1,0,0
26-09-2025,Tamil Nadu,Chennai,600032,1,0,0
26-09-2025,Tamil Nadu,Chennai,600033,1,1,0
26-09-2025,Tamil Nadu,Chennai,600034,1,0,0
26-09-2025,Tamil Nadu,Chennai,600042,3,0,0
26-09-2025,Tamil Nadu,Chennai,600049,0,1,0
26-09-2025,Tamil Nadu,Chennai,600096,1,5,0
26-09-2025,Tamil Nadu,Chennai,600106,2,0,0
26-09-2025,Tamil Nadu,Chennai,600118,5,1,0
26-09-2025,Tamil Nadu,Chennai,600119,7,0,0
29-09-2025,Tamil Nadu,Chennai,600012,1,0,0
29-09-2025,Tamil Nadu,Chennai,600086,0,1,0
29-09-2025,Tamil Nadu,Chennai,600093,0,1,0
30-09-2025,Tamil Nadu,Chennai,600012,1,1,0
30-09-2025,Tamil Nadu,Chennai,600035,1,0,0
26-10-2025,Tamil Nadu,Chennai,600026,0,1,0
26-10-2025,Tamil Nadu,Chennai,600029,1,0,0
26-10-2025,Tamil Nadu,Chennai,600030,1,1,0
26-10-2025,Tamil Nadu,Chennai,600034,1,1,0
26-10-2025,Tamil Nadu,Chennai,600061,1,0,0
26-10-2025,Tamil Nadu,Chennai,600078,1,0,0
26-10-2025,Tamil Nadu,Chennai,600106,1,0,0
26-10-2025,Tamil Nadu,Chennai,600125,0,1,0
13-10-2025,Tamil Nadu,Chennai,600006,1,1,0
13-10-2025,Tamil Nadu,Chennai,600011,4,0,0
13-10-2025,Tamil Nadu,Chennai,600015,5,1,0
13-10-2025,Tamil Nadu,Chennai,600018,2,0,0
13-10-2025,Tamil Nadu,Chennai,600039,5,4,1
13-10-2025,Tamil Nadu,Chennai,600088,1,0,0
13-10-2025,Tamil Nadu,Chennai,600091,1,2,0
13-10-2025,Tamil Nadu,Chennai,600100,3,2,0
13-10-2025,Tamil Nadu,Chennai,600102,2,0,0
13-10-2025,Tamil Nadu,Chennai,600113,4,0,0
13-10-2025,Tamil Nadu,Chennai,600116,1,1,0
13-10-2025,Tamil Nadu,Chennai,600129,2,1,0
15-10-2025,Tamil Nadu,Chennai,600009,1,0,0
15-10-2025,Tamil Nadu,Chennai,600030,1,0,0
15-10-2025,Tamil Nadu,Chennai,600034,0,1,0
15-10-2025,Tamil Nadu,Chennai,600091,3,1,0
15-10-2025,Tamil Nadu,Chennai,600094,3,1,0
15-10-2025,Tamil Nadu,Chennai,600102,1,0,0
16-10-2025,Tamil Nadu,Chennai,600005,2,1,0
16-10-2025,Tamil Nadu,Chennai,600017,1,1,0
16-10-2025,Tamil Nadu,Chennai,600018,0,1,0
16-10-2025,Tamil Nadu,Chennai,600039,4,0,0
16-10-2025,Tamil Nadu,Chennai,600040,0,1,0
16-10-2025,Tamil Nadu,Chennai,600049,3,0,0
16-10-2025,Tamil Nadu,Chennai,600118,1,0,0
17-10-2025,Tamil Nadu,Chennai,600002,6,0,0
17-10-2025,Tamil Nadu,Chennai,600005,4,2,0
17-10-2025,Tamil Nadu,Chennai,600008,1,0,0
17-10-2025,Tamil Nadu,Chennai,600019,1,0,0
17-10-2025,Tamil Nadu,Chennai,600041,4,1,0
17-10-2025,Tamil Nadu,Chennai,600078,12,2,0
17-10-2025,Tamil Nadu,Chennai,600082,8,0,0
17-10-2025,Tamil Nadu,Chennai,600083,8,0,0
17-10-2025,Tamil Nadu,Chennai,600102,1,0,0
17-10-2025,Tamil Nadu,Chennai,600118,7,4,0
20-10-2025,Tamil Nadu,Chennai,600008,1,0,0
20-10-2025,Tamil Nadu,Chennai,600012,1,0,0
20-10-2025,Tamil Nadu,Chennai,600014,2,0,0
20-10-2025,Tamil Nadu,Chennai,600021,1,1,0
20-10-2025,Tamil Nadu,Chennai,600039,1,0,0
20-10-2025,Tamil Nadu,Chennai,600078,2,1,0
20-10-2025,Tamil Nadu,Chennai,600100,0,1,0
20-10-2025,Tamil Nadu,Chennai,600118,1,0,0
18-10-2025,Tamil Nadu,Chennai,600012,5,1,0
18-10-2025,Tamil Nadu,Chennai,600014,2,0,0
18-10-2025,Tamil Nadu,Chennai,600015,1,2,0
18-10-2025,Tamil Nadu,Chennai,600020,0,1,0
18-10-2025,Tamil Nadu,Chennai,600035,1,0,0
18-10-2025,Tamil Nadu,Chennai,600039,8,0,0
18-10-2025,Tamil Nadu,Chennai,600041,4,0,0
18-10-2025,Tamil Nadu,Chennai,600089,1,0,0
18-10-2025,Tamil Nadu,Chennai,600091,2,0,0
18-10-2025,Tamil Nadu,Chennai,600113,3,0,0
18-10-2025,Tamil Nadu,Chennai,600129,2,0,0
19-10-2025,Tamil Nadu,Chennai,600004,2,1,0
19-10-2025,Tamil Nadu,Chennai,600006,1,0,0
19-10-2025,Tamil Nadu,Chennai,600010,2,0,0
19-10-2025,Tamil Nadu,Chennai,600012,5,0,0
19-10-2025,Tamil Nadu,Chennai,600013,1,0,0
19-10-2025,Tamil Nadu,Chennai,600015,1,0,0
19-10-2025,Tamil Nadu,Chennai,600018,1,0,0
19-10-2025,Tamil Nadu,Chennai,600032,3,0,0
19-10-2025,Tamil Nadu,Chennai,600042,3,2,0
19-10-2025,Tamil Nadu,Chennai,600081,3,0,0
19-10-2025,Tamil Nadu,Chennai,600097,1,0,0
19-10-2025,Tamil Nadu,Chennai,600112,1,0,0
19-10-2025,Tamil Nadu,Chennai,600119,1,2,0
21-10-2025,Tamil Nadu,Chennai,600015,2,0,0
24-10-2025,Tamil Nadu,Chennai,600010,2,0,0
24-10-2025,Tamil Nadu,Chennai,600023,2,0,0
24-10-2025,Tamil Nadu,Chennai,600041,1,3,0
24-10-2025,Tamil Nadu,Chennai,600078,1,4,0
24-10-2025,Tamil Nadu,Chennai,600086,1,0,0
24-10-2025,Tamil Nadu,Chennai,600088,1,0,0
24-10-2025,Tamil Nadu,Chennai,600094,1,0,0
24-10-2025,Tamil Nadu,Chennai,600107,0,1,0
24-10-2025,Tamil Nadu,Chennai,600125,0,1,0
25-10-2025,Tamil Nadu,Chennai,600005,2,0,0
25-10-2025,Tamil Nadu,Chennai,600024,1,0,0
25-10-2025,Tamil Nadu,Chennai,600082,2,0,0
25-10-2025,Tamil Nadu,Chennai,600084,1,0,0
25-10-2025,Tamil Nadu,Chennai,600113,0,1,0
25-10-2025,Tamil Nadu,Chennai,600118,2,1,0
27-10-2025,Tamil Nadu,Chennai,600012,1,3,0
27-10-2025,Tamil Nadu,Chennai,600013,3,0,0
27-10-2025,Tamil Nadu,Chennai,600014,4,0,0
27-10-2025,Tamil Nadu,Chennai,600021,4,0,0
27-10-2025,Tamil Nadu,Chennai,600092,1,0,0
27-10-2025,Tamil Nadu,Chennai,600094,1,0,0
27-10-2025,Tamil Nadu,Chennai,600112,2,0,0
27-10-2025,Tamil Nadu,Chennai,600118,2,0,0
28-10-2025,Tamil Nadu,Chennai,600001,3,0,0
28-10-2025,Tamil Nadu,Chennai,600002,2,2,0
28-10-2025,Tamil Nadu,Chennai,600011,1,0,0
28-10-2025,Tamil Nadu,Chennai,600023,2,0,0
28-10-2025,Tamil Nadu,Chennai,600024,1,0,0
28-10-2025,Tamil Nadu,Chennai,600029,1,2,0
28-10-2025,Tamil Nadu,Chennai,600040,2,0,0
28-10-2025,Tamil Nadu,Chennai,600041,2,0,0
28-10-2025,Tamil Nadu,Chennai,600049,1,0,0
28-10-2025,Tamil Nadu,Chennai,600085,1,0,0
28-10-2025,Tamil Nadu,Chennai,600094,5,0,0
28-10-2025,Tamil Nadu,Chennai,600100,3,1,0
28-10-2025,Tamil Nadu,Chennai,600107,1,1,0
29-10-2025,Tamil Nadu,Chennai,600001,4,0,0
29-10-2025,Tamil Nadu,Chennai,600007,1,0,0
29-10-2025,Tamil Nadu,Chennai,600021,6,1,0
29-10-2025,Tamil Nadu,Chennai,600026,1,0,0
29-10-2025,Tamil Nadu,Chennai,600041,0,1,0
29-10-2025,Tamil Nadu,Chennai,600049,2,0,0
29-10-2025,Tamil Nadu,Chennai,600082,1,0,0
30-10-2025,Tamil Nadu,Chennai,600006,1,0,0
30-10-2025,Tamil Nadu,Chennai,600012,29,5,0
30-10-2025,Tamil Nadu,Chennai,600014,5,2,0
30-10-2025,Tamil Nadu,Chennai,600020,3,0,0
30-10-2025,Tamil Nadu,Chennai,600024,4,1,0
30-10-2025,Tamil Nadu,Chennai,600030,2,2,0
30-10-2025,Tamil Nadu,Chennai,600031,3,0,0
30-10-2025,Tamil Nadu,Chennai,600040,2,4,0
30-10-2025,Tamil Nadu,Chennai,600042,7,5,0
30-10-2025,Tamil Nadu,Chennai,600078,8,3,0
30-10-2025,Tamil Nadu,Chennai,600095,0,1,0
31-10-2025,Tamil Nadu,Chennai,600001,9,1,0
31-10-2025,Tamil Nadu,Chennai,600002,4,1,0
31-10-2025,Tamil Nadu,Chennai,600011,3,2,0
31-10-2025,Tamil Nadu,Chennai,600033,5,1,0
31-10-2025,Tamil Nadu,Chennai,600040,1,0,0
31-10-2025,Tamil Nadu,Chennai,600041,2,1,0
31-10-2025,Tamil Nadu,Chennai,600042,4,1,0
31-10-2025,Tamil Nadu,Chennai,600078,3,3,0
31-10-2025,Tamil Nadu,Chennai,600093,2,0,0
01-11-2025,Tamil Nadu,Chennai,600009,1,0,0
01-11-2025,Tamil Nadu,Chennai,600039,4,0,0
01-11-2025,Tamil Nadu,Chennai,600049,3,0,0
01-11-2025,Tamil Nadu,Chennai,600081,3,0,0
01-11-2025,Tamil Nadu,Chennai,600106,1,0,0
01-11-2025,Tamil Nadu,Chennai,600112,1,0,0
01-11-2025,Tamil Nadu,Chennai,600116,1,0,0
02-11-2025,Tamil Nadu,Chennai,600021,8,2,0
02-11-2025,Tamil Nadu,Chennai,600026,4,2,0
02-11-2025,Tamil Nadu,Chennai,600028,13,3,0
02-11-2025,Tamil Nadu,Chennai,600031,0,2,0
02-11-2025,Tamil Nadu,Chennai,600033,2,4,0
02-11-2025,Tamil Nadu,Chennai,600034,1,1,0
02-11-2025,Tamil Nadu,Chennai,600035,1,2,0
02-11-2025,Tamil Nadu,Chennai,600039,7,7,0
02-11-2025,Tamil Nadu,Chennai,600061,1,0,0
02-11-2025,Tamil Nadu,Chennai,600083,5,1,0
02-11-2025,Tamil Nadu,Chennai,600092,4,3,0
02-11-2025,Tamil Nadu,Chennai,600100,4,0,0
02-11-2025,Tamil Nadu,Chennai,600106,9,1,0
02-11-2025,Tamil Nadu,Chennai,600108,1,0,0
02-11-2025,Tamil Nadu,Chennai,600115,2,3,0
02-11-2025,Tamil Nadu,Chennai,600116,0,1,0
02-11-2025,Tamil Nadu,Chennai,600118,6,3,0
11-11-2025,Tamil Nadu,Chennai,600023,0,1,0
11-11-2025,Tamil Nadu,Chennai,600024,1,0,0
11-11-2025,Tamil Nadu,Chennai,600026,1,0,0
11-11-2025,Tamil Nadu,Chennai,600039,1,3,0
11-11-2025,Tamil Nadu,Chennai,600081,2,0,0
11-11-2025,Tamil Nadu,Chennai,600084,1,0,0
11-11-2025,Tamil Nadu,Chennai,600093,1,1,0
11-11-2025,Tamil Nadu,Chennai,600097,3,1,0
11-11-2025,Tamil Nadu,Chennai,600107,1,0,0
12-11-2025,Tamil Nadu,Chennai,600015,1,2,0
12-11-2025,Tamil Nadu,Chennai,600023,2,0,0
12-11-2025,Tamil Nadu,Chennai,600040,0,1,0
12-11-2025,Tamil Nadu,Chennai,600060,0,1,0
12-11-2025,Tamil Nadu,Chennai,600100,1,0,0
12-11-2025,Tamil Nadu,Chennai,600106,3,0,0
12-11-2025,Tamil Nadu,Chennai,600113,1,0,0
12-11-2025,Tamil Nadu,Chennai,600116,1,0,0
16-11-2025,Tamil Nadu,Chennai,600007,0,1,0
16-11-2025,Tamil Nadu,Chennai,600015,2,0,0
16-11-2025,Tamil Nadu,Chennai,600081,3,0,0
16-11-2025,Tamil Nadu,Chennai,600085,1,0,0
16-11-2025,Tamil Nadu,Chennai,600086,0,1,0
16-11-2025,Tamil Nadu,Chennai,600092,2,1,0
16-11-2025,Tamil Nadu,Chennai,600099,1,0,0
15-11-2025,Tamil Nadu,Chennai,600001,5,2,0
15-11-2025,Tamil Nadu,Chennai,600011,5,0,0
15-11-2025,Tamil Nadu,Chennai,600012,15,2,0
15-11-2025,Tamil Nadu,Chennai,600019,2,0,0
15-11-2025,Tamil Nadu,Chennai,600023,5,0,0
15-11-2025,Tamil Nadu,Chennai,600024,3,1,0
15-11-2025,Tamil Nadu,Chennai,600058,1,0,0
15-11-2025,Tamil Nadu,Chennai,600078,5,1,0
15-11-2025,Tamil Nadu,Chennai,600082,4,0,0
15-11-2025,Tamil Nadu,Chennai,600085,1,0,0
15-11-2025,Tamil Nadu,Chennai,600090,1,0,0
15-11-2025,Tamil Nadu,Chennai,600091,3,0,0
15-11-2025,Tamil Nadu,Chennai,600102,0,1,0
15-11-2025,Tamil Nadu,Chennai,600108,1,0,0
15-11-2025,Tamil Nadu,Chennai,600116,1,0,0
15-11-2025,Tamil Nadu,Chennai,600125,1,0,0
05-11-2025,Tamil Nadu,Chennai,600001,6,2,0
05-11-2025,Tamil Nadu,Chennai,600005,4,0,0
05-11-2025,Tamil Nadu,Chennai,600013,2,1,0
05-11-2025,Tamil Nadu,Chennai,600020,4,0,0
05-11-2025,Tamil Nadu,Chennai,600038,1,0,0
05-11-2025,Tamil Nadu,Chennai,600041,4,0,0
05-11-2025,Tamil Nadu,Chennai,600081,6,2,0
03-11-2025,Tamil Nadu,Chennai,600007,1,2,0
03-11-2025,Tamil Nadu,Chennai,600010,1,0,0
03-11-2025,Tamil Nadu,Chennai,600015,4,1,0
03-11-2025,Tamil Nadu,Chennai,600023,4,1,0
03-11-2025,Tamil Nadu,Chennai,600024,6,1,0
03-11-2025,Tamil Nadu,Chennai,600082,1,1,0
03-11-2025,Tamil Nadu,Chennai,600085,1,0,0
03-11-2025,Tamil Nadu,Chennai,600091,3,2,0
03-11-2025,Tamil Nadu,Chennai,600100,2,3,0
07-11-2025,Tamil Nadu,Chennai,600010,2,1,0
07-11-2025,Tamil Nadu,Chennai,600026,1,0,0
07-11-2025,Tamil Nadu,Chennai,600034,0,1,0
07-11-2025,Tamil Nadu,Chennai,600039,4,0,0
07-11-2025,Tamil Nadu,Chennai,600041,1,1,0
07-11-2025,Tamil Nadu,Chennai,600061,1,0,0
07-11-2025,Tamil Nadu,Chennai,600085,3,0,0
07-11-2025,Tamil Nadu,Chennai,600095,0,1,0
07-11-2025,Tamil Nadu,Chennai,600102,0,1,0
07-11-2025,Tamil Nadu,Chennai,600118,3,1,0
06-11-2025,Tamil Nadu,Chennai,600004,5,3,0
06-11-2025,Tamil Nadu,Chennai,600005,1,0,0
06-11-2025,Tamil Nadu,Chennai,600012,7,0,0
06-11-2025,Tamil Nadu,Chennai,600013,2,0,0
06-11-2025,Tamil Nadu,Chennai,600017,1,0,0
