date,state,district,pincode,total_enrolments
2025-06-09,Tamil Nadu,Chennai,600001,9
2025-06-09,Tamil Nadu,Chennai,600011,3
2025-06-09,Tamil Nadu,Chennai,600013,3
2025-06-09,Tamil Nadu,Chennai,600026,1
2025-06-09,Tamil Nadu,Chennai,600033,1
2025-06-09,Tamil Nadu,Chennai,600092,7
2025-06-09,Tamil Nadu,Chennai,600097,4
2025-06-09,Tamil Nadu,Chennai,600106,4
2025-06-09,Tamil Nadu,Chennai,600118,7
2025-06-09,Tamil Nadu,Chennai,600115,1
2025-06-09,Tamil Nadu,Chennai,600100,2
2025-06-09,Tamil Nadu,Chennai,600096,1
2025-06-09,Tamil Nadu,Chennai,600078,6
2025-06-09,Tamil Nadu,Chennai,600042,1
2025-06-09,Tamil Nadu,Chennai,600029,5
2025-06-09,Tamil Nadu,Chennai,600018,4
2025-06-09,Tamil Nadu,Chennai,600003,1
2025-06-09,Tamil Nadu,Chennai,600010,2
2025-06-09,Tamil Nadu,Chennai,600002,9
2025-06-09,Tamil Nadu,Chennai,600005,5
2025-06-09,Tamil Nadu,Chennai,600012,12
2025-06-09,Tamil Nadu,Chennai,600023,6
2025-06-09,Tamil Nadu,Chennai,600041,3
2025-06-09,Tamil Nadu,Chennai,600085,1
2025-06-09,Tamil Nadu,Chennai,600093,3
2025-06-09,Tamil Nadu,Chennai,600126,2
2025-06-09,Tamil Nadu,Chennai,600112,1
2025-06-09,Tamil Nadu,Chennai,600102,1
2025-06-09,Tamil Nadu,Chennai,600083,2
2025-06-09,Tamil Nadu,Chennai,600049,5
2025-06-09,Tamil Nadu,Chennai,600039,4
2025-06-09,Tamil Nadu,Chennai,600032,3
2025-06-09,Tamil Nadu,Chennai,600028,2
2025-06-09,Tamil Nadu,Chennai,600008,1
2025-06-09,Tamil Nadu,Chennai,600006,4
2025-06-09,Tamil Nadu,Chennai,600014,5
2025-06-09,Tamil Nadu,Chennai,600004,2
2025-06-09,Tamil Nadu,Chennai,600094,5
2025-06-09,Tamil Nadu,Chennai,600030,2
2025-06-09,Tamil Nadu,Chennai,600040,4
2025-06-09,Tamil Nadu,Chennai,600021,9
2025-06-09,Tamil Nadu,Chennai,600017,3
2025-06-09,Tamil Nadu,Chennai,600119,4
2025-06-09,Tamil Nadu,Chennai,600081,5
2025-06-09,Tamil Nadu,Chennai,600113,1
2025-06-09,Tamil Nadu,Chennai,600107,3
2025-06-09,Tamil Nadu,Chennai,600116,1
2025-06-09,Tamil Nadu,Chennai,600082,5
2025-06-10,Tamil Nadu,Chennai,600029,1
2025-06-10,Tamil Nadu,Chennai,600012,15
2025-06-10,Tamil Nadu,Chennai,600032,4
2025-06-10,Tamil Nadu,Chennai,600049,3
2025-06-10,Tamil Nadu,Chennai,600028,5
